,Card Name,Decks,Avg,total copies played,colors,convertedManaCost,manaCost,rarity,types,supertypes,subtypes,power,toughness,text
0,Thoughtseize,0.122,3.3,173.9232,B,1,{B},rare,Sorcery,,,,,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.
4,Mana Leak,0.104,3.5,157.248,U,2,{1}{U},common,Instant,,,,,Counter target spell unless its controller pays {3}.
24,Llanowar Elves,0.098,3.7,156.6432,G,1,{G},common,Creature,,"Elf,Druid",1,1,{T}: Add {G}.
68,Birds of Paradise,0.092,3.5,139.104,G,1,{G},rare,Creature,,Bird,0,1,"Flying
{T}: Add one mana of any color."
100,Incinerate,0.084,3.7,134.2656,R,2,{1}{R},common,Instant,,,,,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
122,Lightning Strike,0.078,3.5,117.936,R,2,{1}{R},common,Instant,,,,,Lightning Strike deals 3 damage to any target.
127,Tarmogoyf,0.072,3.7,115.0848,G,2,{1}{G},rare,Creature,,Lhurgoyf,*,1+*,Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
133,Shock,0.07,3.6,108.864,R,1,{R},common,Instant,,,,,Shock deals 2 damage to any target.
158,Garruk Wildspeaker,0.08,3,103.68,G,4,{2}{G}{G},mythic,Planeswalker,Legendary,Garruk,,,"[+1]: Untap two target lands.
[âˆ’1]: Create a 3/3 green Beast creature token.
[âˆ’4]: Creatures you control get +3/+3 and gain trample until end of turn."
166,Courser of Kruphix,0.056,4,96.768,G,3,{1}{G}{G},rare,"Enchantment,Creature",,Centaur,2,4,"Play with the top card of your library revealed.
You may play lands from the top of your library.
Whenever a land enters the battlefield under your control, you gain 1 life."
171,Hero's Downfall,0.074,3,95.904,B,3,{1}{B}{B},rare,Instant,,,,,Destroy target creature or planeswalker.
174,Sylvan Caryatid,0.048,3.9,80.8704,G,2,{1}{G},rare,Creature,,Plant,0,3,"Defender, hexproof
{T}: Add one mana of any color."
177,Dig Through Time,0.052,3.4,76.3776,U,8,{6}{U}{U},rare,Instant,,,,,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order."
180,Murderous Cut,0.07,2.4,72.576,B,5,{4}{B},uncommon,Instant,,,,,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Destroy target creature."
181,Wrath of God,0.048,3.5,72.576,W,4,{2}{W}{W},rare,Sorcery,,,,,Destroy all creatures. They can't be regenerated.
217,Siege-Gang Commander,0.046,3.5,69.552,R,5,{3}{R}{R},rare,Creature,,Goblin,2,2,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.
{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target."
228,Hordeling Outburst,0.044,3.6,68.4288,R,3,{1}{R}{R},common,Sorcery,,,,,Create three 1/1 red Goblin creature tokens.
233,"Jace, Vryn's Prodigy",0.04,3.8,65.664,U,2,{1}{U},mythic,Creature,Legendary,"Human,Wizard",0,2,"{T}: Draw a card, then discard a card. If there are five or more cards in your graveyard, exile Jace, Vryn's Prodigy, then return him to the battlefield transformed under his owner's control."
237,Siege Rhino,0.038,4,65.664,"B,G,W",4,{1}{W}{B}{G},rare,Creature,,Rhino,4,5,"Trample
When Siege Rhino enters the battlefield, each opponent loses 3 life and you gain 3 life."
241,Bomat Courier,0.038,3.9,64.0224,R,1,{1},rare,"Artifact,Creature",,Construct,1,1,"Haste
Whenever Bomat Courier attacks, exile the top card of your library face down. (You can't look at it.)
{R}, Discard your hand, Sacrifice Bomat Courier: Put all cards exiled with Bomat Courier into their owners' hands."
243,Profane Command,0.052,2.8,62.8992,B,2,{X}{B}{B},rare,Sorcery,,,,,"Choose two â€”
â€¢ Target player loses X life.
â€¢ Return target creature card with converted mana cost X or less from your graveyard to the battlefield.
â€¢ Target creature gets -X/-X until end of turn.
â€¢ Up to X target creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)"
249,Counterspell,0.038,3.8,62.3808,U,2,{U}{U},uncommon,Instant,,,,,Counter target spell.
295,Lightning Bolt,0.036,4,62.208,R,1,{R},common,Instant,,,,,Lightning Bolt deals 3 damage to any target.
